depth;maxdim;rect_distances;potential
0;812;185;0
0;817;247;0
0;812;156;0
0;817;209;0
0;817;209;0
0;817;212;0
0;817;209;0
1;812;252;0
1;812;233;0
1;812;233;0
1;894;166;0
1;894;166;0
1;873;246;0
1;812;297;0
2;812;332;0
2;812;332;0
2;812;316;0
2;873;313;0
2;873;313;0
2;873;313;0
2;873;313;0
3;762;416;0
3;762;416;0
3;776;381;0
3;776;360;0
3;776;381;0
3;812;332;0
3;873;406;0
4;964;385;0
4;762;402;0
4;762;402;0
4;762;416;0
4;791;481;0
4;791;481;0
4;791;481;0
4;964;385;0
4;762;402;0
4;762;402;0
4;762;416;0
4;791;481;0
4;791;481;0
4;791;481;0
4;776;381;0
4;776;381;0
4;776;464;0
4;776;478;0
4;791;509;0
4;791;509;0
4;791;509;0
4;776;360;0
4;776;360;0
4;776;443;0
4;776;457;0
4;791;488;0
4;791;488;0
4;791;488;0
4;776;381;0
4;776;381;0
4;776;464;0
4;776;478;0
4;791;509;0
4;791;509;0
4;791;509;0
4;776;367;0
4;776;381;0
4;776;360;0
4;812;460;0
4;812;460;0
4;812;460;0
4;812;429;0
4;812;572;0
4;873;520;0
4;873;503;0
4;873;534;0
4;873;534;0
4;873;534;0
4;873;503;0
3;762;416;0
3;762;416;0
3;776;381;0
3;776;360;0
3;776;381;0
3;812;332;0
3;873;406;0
4;964;385;0
4;762;402;0
4;762;402;0
4;762;416;0
4;791;481;0
4;791;481;0
4;791;481;0
4;964;385;0
4;762;402;0
4;762;402;0
4;762;416;0
4;791;481;0
4;791;481;0
4;791;481;0
4;776;381;0
4;776;381;0
4;776;464;0
4;776;478;0
4;791;509;0
4;791;509;0
4;791;509;0
4;776;360;0
4;776;360;0
4;776;443;0
4;776;457;0
4;791;488;0
4;791;488;0
4;791;488;0
4;776;381;0
4;776;381;0
4;776;464;0
4;776;478;0
4;791;509;0
4;791;509;0
4;791;509;0
4;776;367;0
4;776;381;0
4;776;360;0
4;812;460;0
4;812;460;0
4;812;460;0
4;812;429;0
4;812;572;0
4;873;520;0
4;873;503;0
4;873;534;0
4;873;534;0
4;873;534;0
4;873;503;0
3;776;397;0
3;776;397;0
3;776;397;0
3;873;377;0
3;873;377;0
3;873;377;0
3;812;441;0
4;776;397;0
4;776;397;0
4;776;480;0
4;776;494;0
4;791;525;0
4;791;525;0
4;791;525;0
4;776;397;0
4;776;397;0
4;776;480;0
4;776;494;0
