r1:{min=2, max=3}, r2:{min=3, max=5}, r:{min:3, max:3}
r1:{min=0, max=2}, r2:{min=1, max=1}, r:{min:1, max:1}
r1:{min=4, max=4}, r2:{min=3, max=5}, r:{min:4, max:4}
r1:{min=4, max=4}, r2:{min=3, max=5}, r:{min:4, max:4}
r1:{min=5, max=6}, r2:{min=3, max=5}, r:{min:5, max:5}
r1:{min=6, max=8}, r2:{min=7, max=7}, r:{min:7, max:7}
r1:{min=5, max=6}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=5, max=6}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=3, max=4}, r2:{min=4, max=6}, r:{min:4, max:4}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=5, max=7}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=5, max=6}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=3, max=4}, r2:{min=4, max=6}, r:{min:4, max:4}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=5, max=7}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=5, max=6}, r2:{min=4, max=6}, r:{min:5, max:6}
r1:{min=3, max=4}, r2:{min=4, max=6}, r:{min:4, max:4}
r1:{min=0, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=0, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=0, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=3, max=5}, r2:{min=4, max=5}, r:{min:4, max:5}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=2, max=3}, r2:{min=1, max=4}, r:{min:2, max:3}
r1:{min=3, max=6}, r2:{min=4, max=5}, r:{min:4, max:5}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
r1:{min=1, max=3}, r2:{min=1, max=4}, r:{min:1, max:3}
